release_date_raw,time,actual,forecast,previous
"Jul 01, 1997 (Jun)",5:00,59.4,,62.3
"Jun 01, 1997 (May)",5:00,62.3,,56.6
"May 01, 1997 (Apr)",5:00,56.6,,58.6
"Apr 01, 1997 (Mar)",4:00,58.6,,57.6
"Mar 01, 1997 (Feb)",4:00,57.6,,57
"Feb 01, 1997 (Jan)",4:00,57,,61.7
"Jan 01, 1997 (Dec)",4:00,61.7,,56.9
"Dec 01, 1996 (Nov)",4:00,56.9,,52.9
"Nov 01, 1996 (Oct)",4:00,52.9,,54.6
"Oct 01, 1996 (Sep)",5:00,54.6,,54.6
"Sep 01, 1996 (Aug)",5:00,54.6,,51.9
"Aug 01, 1996 (Jul)",5:00,51.9,,59.4
"Jul 01, 1996 (Jun)",5:00,59.4,,51.7
"Jun 01, 1996 (May)",5:00,51.7,,52.3
"May 01, 1996 (Apr)",5:00,52.3,,49.1
"Apr 01, 1996 (Mar)",4:00,49.1,,46.1
"Mar 01, 1996 (Feb)",4:00,46.1,,44.1
"Feb 01, 1996 (Jan)",4:00,44.1,,45.9
"Jan 01, 1996 (Dec)",4:00,45.9,,48.6
"Dec 01, 1995 (Nov)",4:00,48.6,,47.5
"Nov 01, 1995 (Oct)",4:00,47.5,,49.4
"Oct 01, 1995 (Sep)",5:00,49.4,,46.5
"Sep 01, 1995 (Aug)",5:00,46.5,,52.7
"Aug 01, 1995 (Jul)",5:00,52.7,,43.5
"Jul 01, 1995 (Jun)",5:00,43.5,,44
"Jun 01, 1995 (May)",5:00,44,,52.2
"May 01, 1995 (Apr)",5:00,52.2,,51.9
"Apr 01, 1995 (Mar)",4:00,51.9,,56.6
"Mar 01, 1995 (Feb)",4:00,56.6,,59.7
"Feb 01, 1995 (Jan)",4:00,59.7,,58.9
"Jan 01, 1995 (Dec)",4:00,58.9,,61.5
"Dec 01, 1994 (Nov)",4:00,61.5,,63
"Nov 01, 1994 (Oct)",4:00,63,,62.7
"Oct 01, 1994 (Sep)",5:00,62.7,,63
"Sep 01, 1994 (Aug)",5:00,63,,64.2
"Aug 01, 1994 (Jul)",5:00,64.2,,65
"Jul 01, 1994 (Jun)",5:00,65,,61.6
"Jun 01, 1994 (May)",5:00,61.6,,62.7
"May 01, 1994 (Apr)",5:00,62.7,,62.8
"Apr 01, 1994 (Mar)",4:00,62.8,,62.2
"Mar 01, 1994 (Feb)",4:00,62.2,,63.5
"Feb 01, 1994 (Jan)",4:00,63.5,,62.4
"Jan 01, 1994 (Dec)",4:00,62.4,,60.4
"Dec 01, 1993 (Nov)",4:00,60.4,,58.9
"Nov 01, 1993 (Oct)",4:00,58.9,,52.6
"Oct 01, 1993 (Sep)",5:00,52.6,,55.3
"Sep 01, 1993 (Aug)",5:00,55.3,,53.8
"Aug 01, 1993 (Jul)",5:00,53.8,,51.6
"Jul 01, 1993 (Jun)",5:00,51.6,,55.2
